genus	subgenus	group	species	host_group	host_family	host_genus	host_species	substrate	records	individuals	island	references	notes
Drosophila		spoon tarsus	percnosoma	seed plants	Araliaceae	Cheirodendron	trigynum	leaf	15	291	H	12,18	
Drosophila		spoon tarsus	waddingtoni	seed plants	Araliaceae	Cheirodendron	trigynum	leaf	28	812	H,M,MoL	12,18	
Drosophila		unplaced modified mouthpart	toxacantha	seed plants	Araliaceae	Cheirodendron	trigynum	bark	3	10	H	12,24	n. sp. nr. latigena in 12
Drosophila		unplaced modified tarsus	fastigata	seed plants	Araliaceae	Cheirodendron	platyphyllum	leaf	1	1	O	12	
Scaptomyza	Elmomyza		apiciguttula	seed plants	Araliaceae	Cheirodendron	trigynum	bark	1	1	H	24	
Scaptomyza	Tantalia		nigrosignata	seed plants	Araliaceae	Tetraplasandra	oahuensis	leaf	1	1	H	24	
Scaptomyza	Tantalia		gilvivirilia	seed plants	Araliaceae	Cheirodendron	trigynum	leaf	1	2	M	12	
Scaptomyza	Elmomyza		hackmani	seed plants	Araliaceae	Cheirodendron	trigynum	leaf	2	2	MH	12	
Scaptomyza	unplaced Scaptomyza		vinnula	seed plants	Araliaceae	Cheirodendron	sp	leaf	1	4	O	12	
Scaptomyza	Elmomyza		cuspidata	seed plants	Araliaceae	Cheirodendron	trigynum	leaf	1	NA	M	12	
Drosophila		grimshawi	crucigera	seed plants	Arecaceae	Pritchardia		fruit	1	14	O	15	
Drosophila		scolostoma	deltaneuron	seed plants	Arecaceae	Pritchardia		fruit	2	3	O	24	
Scaptomyza	Bunostoma		palmae	seed plants	Arecaceae			NA	1	2	H	8	substrate not recorded
Drosophila		ciliated tarsus	kraussi	seed plants	Asteraceae	Dubautia		bark	1	4	O	24	identification uncertain
Drosophila		ciliated tarsus	R90	seed plants	Asteraceae	Argyroxiphium	caliginis	leaf	1	7	M	24	
Drosophila		dissita	dissita_Oahu	seed plants	Asteraceae	Dubautia		bark	1	2	O	24	
Drosophila		freycinetiae	asketostoma	seed plants	Asteraceae	Argyroxiphium	sandwichense	flower	1	23	M	8	collected on flowers, not reared
Drosophila		grimshawi	crucigera	seed plants	Asteraceae	Duhautia	plantaginea	bark	1	9	O	15	
Scaptomyza	Elmomyza		longipecten	seed plants	Asteraceae	Dubautia		flower	1	4	M	12	
Scaptomyza	Elmomyza		mediana	seed plants	Asteraceae	Senecio		flower	1	4	M	12	
Scaptomyza	Elmomyza		intricata	seed plants	Asteraceae	Senecio		flower	1	12	M	12	
Scaptomyza	Elmomyza		latitergum	seed plants	Asteraceae	Argyroxiphium	sandwicense	flower	3	18	M	8	
Drosophila		ceratostoma	ceratostoma	fungus	Basidiomycetes	bracket fungus		fungus	1	5	H	10	"label has reared from crossed out and feeding on handwritten in		"
Drosophila		dissita	dissita_Kauai	fungus	Basidiomycetes	mushroom		fungus	1	1	K	24	
Drosophila		grimshawi	crucigera	fungus	Basidiomycetes	mushroom		fungus	1	6	O	9	
Drosophila		grimshawi	grimshawi	fungus	Basidiomycetes	jelly-like fungus		fungus	1	6	L	12	
Drosophila		haleakalae	iki	fungus	Basidiomycetes	gill fungus		fungus	1	1	H	12	
Drosophila		haleakalae	illusiopolita	fungus	Basidiomycetes	gill fungus		fungus	1	1	H	12	
Drosophila		haleakalae	melanoloma	fungus	Basidiomycetes	Agaricus		fungus	1	5	Mo	12	
Drosophila		haleakalae	demipolita	fungus	Basidiomycetes	gill fungus		fungus	1	6	H	10	
Drosophila		haleakalae	ochropleura	fungus	Basidiomycetes	gill fungus		fungus	3	8	H	12,21	listed as D. luteola in ref. 12
Drosophila		haleakalae	curtitarsis	fungus	Basidiomycetes	mushroom		fungus	1	9	K	21	
Drosophila		haleakalae	macrochaetae	fungus	Basidiomycetes	soft-shell		fungus	1	10	M	8	
