genus	species	describer	sex	type	4C	4V	5X	CI	HW	HW/TL	M	N	TL	TL/WL	WL	pupal_length
Drosophila	setositibia	n sp	male		0.5 (0.4-0.6)	1.4 (1.3-1.4)	1.8 (1.7-2.0)	4.4 (3.5-5.2)	1.0  (0.9-1.1)	0.8	0.4 (0.4-0.5)	3	1.2  (1.2-1.3)	0.5	2.5	
Drosophila	stenoptera	Hardy 1965: 473	male	MAUI: Holotype #, Paliku, Haleakala Crater, 6500 ft., vi.1953, DEH, BPBMmale6447	0.6	1.6	1.7	4.6	1.3	0.7	0.4	NA	1.8	0.4	5.1	
Drosophila	subopaca	n sp	male	KAUA`I: Holotype male, Halemanu Valley, Koke`e, 4000 ft., 25.vi.1964, LHT,BPBM 16371	0.5	1.3	1.8	4	1	0.8	0.4	NA	1.2	0.4	2.7	
Drosophila	swezeyi	Hardy 1965: 474	male	O`AHU: Holotype #, Wai`anae Mountains, 22.i.1924, OHS, BPBM male6448	0.5	1.4	1.4	4.3	1.1	0.8	0.3	NA	1.3	0.5	2.6	
Drosophila	tamashiroi	Hardy 1965 477	male	O`AHU: Holotype #, Makalehai Valley, “in stream bed,” v.1951, MT, BPBMmale6450	0.3	1.1	3.2	7	0.7	0.9	0.4	NA	0.7	0.4	1.9	
Drosophila	tanytarsis	n sp	female	Allotype: female, O`AHU: same information as type,BPBM 16357a	0.4	1.1	1.1	5	1.3	0.7	0.3	NA	1.8	0.5	3.6	
Drosophila	tanytarsis	n sp	female		NA	1.2 (1.1-1.3)	1.5 (1.2-1.7)	4.5(4.0-5.0)	1.2  (1.1-1.3)	NA	0.3 (0.3-0.4)	11	1.6m 46(1.4-1.8)	0.5	3.2  (2.9-3.7)	
Drosophila	tanytarsis	n sp	male	O`AHU: Holotype male, Mt. Ka`ala, 4000 ft., 22.viii.1974, JO & SLM, BPBM 16357	0.5	1.1	1.1	4.7	1.3	0.7	0.3	NA	1.7	0.5	3.5	
Drosophila	tanytarsis	n sp	male		0.5 (0.4-0.5)	1.2 (1.1-1.3)	1.2 (1.0-1.7)	4.6 (4.0-5.4)	1.1  (1.0-1.4)	0.8 (0.7-0.8)	0.3 (0.2-0.3)	11	1.7  (1.3-2.0)	0.5	3.4  (2.7-3.9)	
Drosophila	venusta	Hardy 1965: 502	female		0.5	1.4	1.5	2.3	1.4	0.7	0.4	1	1.9	0.5	4.2	
